,phi0,p,q,P[N],delta_H,delta_V,small_delta_v,safety_ratio
59,31.8,0.8737722230354652,1.1176722620270891,0.35145964670293117,0.2069645697559821,0.914120902943548,1.057648621558022,3.1624168345563515
60,32.0,0.8746197071393957,1.1220573107209149,0.3542228734687707,0.20955676615826757,0.9195502286160258,1.0659640085657731,3.1412375851171164
61,32.2,0.8754645270000179,1.126444176468104,0.35699807192476507,0.21216478858828003,0.9249737087204403,1.0743154220184061,3.120310494929892
62,32.4,0.8763066800438636,1.1308330441299534,0.35978537315781084,0.21478863152181926,0.9303913123085021,1.0827032563961307,3.099630848553968
63,32.6,0.8771461637055887,1.1352240978972734,0.3625849096590154,0.217428289488375,0.9358030085488732,1.0911279104048541,3.079194045760028
64,32.8,0.8779829754279805,1.1396175213350925,0.3653968153462571,0.22008375707346595,0.9412087667285172,1.0995897870440694,3.058995598011909
65,33.0,0.8788171126619654,1.1440134974265244,0.368221225587044,0.2227550289206599,0.9466085562536543,1.1080892936756446,3.0390311250766615
66,33.2,0.8796485728666165,1.1484122086162474,0.37105827722195256,0.2254420997341633,0.9520023466513327,1.1166268420943573,3.019296351756391
67,33.4,0.8804773535091619,1.1528138368530956,0.37390810858831014,0.22814496428084619,0.9573901075703445,1.1252028485991628,2.999787104738147
68,33.6,0.8813034520649923,1.1572185636323464,0.37677085954448775,0.23086361739287442,0.9627718087827826,1.1338177340662967,2.9804993095555443
69,33.8,0.8821268660176678,1.161626570037307,0.3796466714945381,0.23359805397005085,0.9681474201852674,1.1424719240234207,2.9614289876585604
70,34.0,0.882947592858927,1.1660380367804015,0.3825356874132977,0.23634826898221828,0.9735169118001793,1.1511658487251601,2.942572253586614
71,34.2,0.8837656300886935,1.1704531442437696,0.3854380518719525,0.23911425747171045,0.9788802537769054,1.1598999432300405,2.9239253122407645
72,34.4,0.8845809752150839,1.1748720725195156,0.38835391106415124,0.24189601455604004,0.9842374163933872,1.168674647479069,2.9054844562506856
73,34.6,0.8853936257544159,1.1792950014493726,0.39128341283250345,0.24469353543032435,0.9895883700572649,1.1774904063754763,2.8872460634332615
74,34.8,0.8862035792312146,1.1837221106640972,0.3942267066956643,0.24750681537001817,0.9949330853073864,1.1863476698662219,2.869206594338387
75,35.0,0.8870108331782217,1.1881535796223825,0.3971839438758599,0.25033584973347045,1.0002715328150427,1.1952468930248275,2.8513625898790607
76,35.2,0.8878153851364013,1.1925895876495494,0.4001552773270206,0.2531806339647895,1.0056036833855841,1.204188536136037,2.8337106690418783
77,35.4,0.8886172326549487,1.1970303139757912,0.40314086176336794,0.2560411635965063,1.0109295079596958,1.2131730647818444,2.816247526675303
78,35.6,0.8894163732912975,1.2014759377741921,0.40614085368859865,0.25891743425242586,1.0162489776148944,1.2222009499293172,2.7989699313522145
